disease,category,severity,symptoms,what_to_do,emergency,see_doctor
Common Cold,Respiratory,Mild,"Runny nose, sneezing, mild fever, sore throat","Rest, drink water, honey for cough, use saline spray",No,"Fever > 101°F or symptoms > 10 days"
Flu,Respiratory,Moderate,"High fever, body aches, tiredness, dry cough","Rest in bed, drink fluids, take fever medicine",No,"High fever, trouble breathing, symptoms > 1 week"
COVID-19,Respiratory,Moderate,"Fever, dry cough, tired, loss of taste/smell","Rest, isolate, drink water, check oxygen",No,"Trouble breathing, chest pain, confusion"
Bronchitis,Respiratory,Moderate,"Bad cough with mucus, chest discomfort, tired","Rest, drink warm fluids, avoid smoke",No,"Cough > 3 weeks, fever, coughing blood"
Pneumonia,Respiratory,Severe,"High fever, trouble breathing, chest pain, chills","SEEK MEDICAL HELP NOW - Call emergency!",Yes,"Immediately - this is an emergency"
Asthma,Respiratory,Moderate,"Wheezing, trouble breathing, chest tightness","Use inhaler, sit up straight, stay calm",Yes,"If inhaler not working, severe breathing trouble"
Stomach Pain,Digestive,Mild,"Pain in belly, bloating, nausea","Eat small meals, avoid spicy food, rest",No,"Severe pain, vomiting blood, black poop"
Food Poisoning,Digestive,Moderate,"Nausea, vomiting, diarrhea, stomach cramps","Drink water, rest, eat bland food (bananas, rice)",No,"Bloody poop, fever > 101°F, can't keep water down"
Acid Reflux,Digestive,Mild,"Heartburn, chest pain after eating, burping","Eat small meals, don't lie down after eating",No,"Chest pain, trouble swallowing, weight loss"
Constipation,Digestive,Mild,"Hard poop, straining, bloating","Drink water, eat fruits/vegetables, exercise",No,"No poop > 1 week, severe pain, bleeding"
Headache,Pain,Mild,"Pain in head, pressure, neck pain","Drink water, rest in dark room, cold compress",No,"Severe pain, with fever, after head injury"
Migraine,Pain,Moderate,"Bad headache, nausea, sensitive to light","Rest in dark quiet room, cold compress",No,"Frequent attacks, severe pain, vision changes"
Back Pain,Pain,Mild,"Lower back ache, stiff, hard to move","Gentle stretching, heat pack, good posture",No,"Leg weakness, loss of bladder control, after injury"
Arthritis,Pain,Moderate,"Joint pain, swelling, stiff in morning","Gentle exercise, rest joints, warm bath",No,"Sudden pain, fever, can't move joint"
UTI,Infection,Moderate,"Peeing a lot, burning when peeing, belly pain","Drink water, pee often, see doctor for medicine",No,"Fever, back pain, blood in pee"
Strep Throat,Infection,Moderate,"Very sore throat, fever, trouble swallowing","Gargle salt water, drink warm tea, see doctor",No,"Trouble breathing, can't swallow, rash"
Sinusitis,Infection,Mild,"Face pain, stuffy nose, headache","Steam inhalation, saline spray, drink water",No,"Fever > 102°F, symptoms > 10 days"
Ear Infection,Infection,Mild,"Ear pain, trouble hearing, fever","Warm compress, rest, pain medicine",No,"Severe pain, fluid coming out, high fever"
Eczema,Skin,Mild,"Itchy, dry, red patches on skin","Moisturize daily, avoid scratching, cool bath",No,"Infected skin, severe itching, not improving"
Acne,Skin,Mild,"Pimples, blackheads, oily skin","Wash face twice daily, don't touch face",No,"Severe acne, scarring, not getting better"
Hives,Skin,Mild,"Red itchy welts, swelling","Take allergy medicine, cold compress",Yes,"Trouble breathing, swelling of lips/tongue"
Ringworm,Skin,Mild,"Circular red rash, itching, scaling","Use antifungal cream, keep area clean",No,"Widespread, not improving, scalp infection"
Diabetes,Chronic,Severe,"Thirsty a lot, peeing a lot, tired, blurry vision","Check blood sugar, eat healthy, exercise",No,"Very high/low blood sugar, confusion, fainting"
High BP,Chronic,Severe,"Often no symptoms, sometimes headaches","Eat less salt, exercise, take medicine",Yes,"Chest pain, severe headache, trouble breathing"
Anemia,Chronic,Moderate,"Tired, pale skin, dizzy, cold hands","Eat iron-rich foods (spinach, meat), rest",No,"Chest pain, severe fatigue, fainting"
Allergies,Chronic,Mild,"Sneezing, runny nose, itchy eyes","Avoid triggers, take allergy medicine",No,"Trouble breathing, swelling of lips/tongue"
Anxiety,Mental Health,Moderate,"Worry a lot, fast heartbeat, can't relax","Deep breathing, exercise, talk to someone",No,"Chest pain, can't function, thoughts of suicide"
Depression,Mental Health,Moderate,"Sad all the time, no energy, no interest","Talk to someone, exercise, get sunlight",No,"Thoughts of suicide, not eating, can't function"
Insomnia,Mental Health,Mild,"Can't sleep, tired during day","No screens before bed, regular sleep time",No,"Can't sleep > 3 weeks, affects daily life"
Stress,Mental Health,Mild,"Headache, tired, can't relax, irritable","Exercise, relax, take breaks, talk to someone",No,"Chest pain, can't function, severe symptoms"
Period Cramps,Women's Health,Mild,"Belly pain, back pain, bloating","Heat pack, gentle exercise, pain medicine",No,"Severe pain, heavy bleeding, irregular periods"