disease,medicine1,medicine2,medicine3
Common Cold,"Acetaminophen (Tylenol) for fever","Decongestants for stuffy nose","Cough suppressants (DM)"
Flu,"Acetaminophen (Tylenol) for fever","Ibuprofen (Advil) for body aches","Oseltamivir (Tamiflu) if prescribed"
COVID-19,"Acetaminophen for fever","Rest and hydration - most important","Monitor oxygen with pulse oximeter"
Bronchitis,"Guaifenesin (Mucinex) to loosen mucus","Dextromethorphan for dry cough","Ibuprofen for chest discomfort"
Pneumonia,"SEEK EMERGENCY CARE IMMEDIATELY","Antibiotics - prescription only","Hospital care may be needed"
Asthma,"Rescue inhaler (Albuterol)","Controller medications as prescribed","Nebulizer treatments if prescribed"
Stomach Pain,"Antacids (Tums, Rolaids)","Pepto-Bismol for upset stomach","Gas relief (Simethicone)"
Food Poisoning,"Oral rehydration salts for dehydration","Pepto-Bismol for nausea","Anti-nausea medication if prescribed"
Acid Reflux,"Antacids (Tums, Rolaids)","H2 blockers (Famotidine/Pepcid)","PPI (Omeprazole/Prilosec)"
Constipation,"Fiber supplements (Metamucil)","Stool softeners (Colace)","Gentle laxatives (Milk of Magnesia)"
Headache,"Ibuprofen (Advil) or Acetaminophen","Aspirin (adults only)","Naproxen (Aleve) for severe pain"
Migraine,"Prescription triptans for migraine","Ibuprofen (Advil) for pain","Anti-nausea medication if needed"
Back Pain,"Ibuprofen (Advil) or Naproxen","Acetaminophen (Tylenol)","Muscle relaxants if prescribed"
Arthritis,"Ibuprofen (Advil) or Naproxen","Acetaminophen (Tylenol) for pain","Topical NSAIDs (Voltaren gel)"
UTI,"Antibiotics - prescription from doctor","Phenazopyridine (AZO) for pain","Cranberry supplements for prevention"
Strep Throat,"Antibiotics - prescription from doctor","Ibuprofen or Acetaminophen for pain","Throat numbing sprays"
Sinusitis,"Decongestants (Pseudoephedrine)","Saline nasal spray","Ibuprofen for facial pain"
Ear Infection,"Acetaminophen or Ibuprofen for pain","Antibiotic ear drops if prescribed","Oral antibiotics if bacterial"
Eczema,"Hydrocortisone cream for itching","Moisturizing creams","Antihistamines for severe itching"
Acne,"Benzoyl peroxide cream","Salicylic acid cleanser","Retinoid cream if prescribed"
Hives,"Antihistamines (Benadryl, Zyrtec)","Hydrocortisone cream for itching","Cold compress for relief"
Ringworm,"OTC antifungal cream (Clotrimazole)","Keep area clean and dry","Antifungal powder for prevention"
Diabetes,"Insulin or oral medications as prescribed","Metformin - common first-line","Blood sugar monitoring supplies"
High BP,"Blood pressure medications as prescribed","Diuretics (water pills)","ACE inhibitors or ARBs"
Anemia,"Iron supplements (Ferrous sulfate)","Vitamin B12 supplements if deficient","Folic acid supplements"
Allergies,"Antihistamines (Zyrtec, Claritin)","Nasal sprays (Flonase)","Eye drops for itchy eyes"
Anxiety,"SSRI antidepressants if prescribed","Buspirone if prescribed","Therapy and counseling"
Depression,"SSRI antidepressants if prescribed","SNRI antidepressants if prescribed","Therapy and counseling"
Insomnia,"Melatonin supplements","Sleep aids (diphenhydramine/Benadryl)","Prescription sleep aids for chronic"
Stress,"No specific medicine - lifestyle changes best","Melatonin for sleep if needed","Consult doctor if severe"
Period Cramps,"Ibuprofen (Advil) or Naproxen","Acetaminophen (Tylenol)","Heat patches for pain relief"