disease,question1,question2,question3
Common Cold,"Do you have a runny or stuffy nose?","Are you sneezing frequently?","Do you have a mild sore throat?"
Flu,"Do you have high fever above 101°F?","Do you have severe body aches?","Do you feel extremely tired and weak?"
COVID-19,"Have you lost your sense of taste or smell?","Do you have a dry persistent cough?","Do you have difficulty breathing?"
Bronchitis,"Do you have a cough with mucus?","Do you feel chest discomfort?","Does your cough keep you up at night?"
Pneumonia,"Do you have high fever with chills?","Do you have sharp chest pain when breathing?","Are you coughing up green or bloody mucus?"
Asthma,"Do you hear wheezing when you breathe?","Do you feel chest tightness?","Does breathing get worse at night or with exercise?"
Stomach Pain,"Where exactly is your stomach pain?","Is the pain sharp, dull, or cramping?","Does eating make it better or worse?"
Food Poisoning,"Did you eat something suspicious in last 24 hours?","Do you have nausea or vomiting?","Do you have diarrhea?"
Acid Reflux,"Do you feel burning in your chest after eating?","Does it get worse when lying down?","Do you taste sour liquid in your mouth?"
Constipation,"How many days since your last bowel movement?","Are your stools hard and dry?","Do you feel bloated?"
Headache,"Where is your headache located?","Is the pain throbbing or constant?","On scale 1-10, how severe is it?"
Migraine,"Do you see flashing lights or spots?","Does light or sound bother you?","Do you feel nauseous?"
Back Pain,"Where exactly is your back pain?","Did you lift something heavy or have an injury?","Does pain go down your leg?"
Arthritis,"Which joints are painful?","Are your joints swollen or warm?","Is stiffness worse in the morning?"
UTI,"Does it burn when you urinate?","Do you need to urinate frequently?","Do you have lower belly pain?"
Strep Throat,"Do you have white patches in your throat?","Do you have fever?","Do you have difficulty swallowing?"
Sinusitis,"Do you have facial pain or pressure?","Is your nose stuffy with thick mucus?","Do you have headache?"
Ear Infection,"Do you have ear pain?","Do you have fever?","Is there fluid draining from your ear?"
Eczema,"Where is the rash located?","Is the skin very itchy?","Do you have dry, red patches?"
Acne,"Do you have pimples or blackheads?","Is your skin oily?","Are the breakouts painful?"
Hives,"Do you have red, raised welts on skin?","Are they very itchy?","Did they appear suddenly?"
Ringworm,"Do you have a circular red rash?","Does it have a clear center?","Is it itchy?"
Diabetes,"Do you feel very thirsty all the time?","Do you urinate frequently?","Do you feel tired and weak?"
High BP,"Have you had headaches recently?","Do you feel dizzy?","Do you have chest pain or shortness of breath?"
Anemia,"Do you feel very tired and weak?","Do you look pale?","Do you feel dizzy when standing up?"
Allergies,"Do you sneeze frequently?","Do you have itchy, watery eyes?","Is your nose runny or stuffy?"
Anxiety,"Do you feel worried or nervous most days?","Do you have racing heartbeat?","Do you have trouble relaxing?"
Depression,"Have you felt sad or empty most days?","Have you lost interest in things you used to enjoy?","Do you have trouble sleeping or sleep too much?"
Insomnia,"Do you have trouble falling asleep?","Do you wake up during the night?","Do you feel tired during the day?"
Stress,"Do you feel overwhelmed or pressured?","Do you have muscle tension?","Do you feel irritable or moody?"
Period Cramps,"When did your period start?","Is the pain in lower belly or back?","On scale 1-10, how severe is pain?"